room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12796058,48017914,Private room,,Yellowknife,16,5,2,1,114,,62.459629,-114.342939,08:52.3
6378983,29009711,Private room,,Yellowknife,4,5,2,1,95,,62.468392,-114.346411,08:51.3
6701451,29009711,Private room,,Yellowknife,1,0,2,1,95,,62.469263,-114.346955,08:51.3
8446394,25827587,Private room,,Yellowknife,6,5,2,1,88,,62.450074,-114.420497,08:51.3
16297978,42056096,Private room,,Yellowknife,0,0,3,1,96,,62.464206,-114.358311,08:51.3
9998635,51364591,Private room,,Yellowknife,6,5,2,1,96,,62.446927,-114.374536,08:51.3
16297366,42056096,Private room,,Yellowknife,0,0,3,1,96,,62.462856,-114.359928,08:51.3
361208,1825523,Private room,,Yellowknife,17,5,2,1,83,,62.47303,-114.342687,08:51.3
5626734,25827587,Private room,,Yellowknife,12,5,2,1,83,,62.449907,-114.413256,08:51.2
6433388,28195028,Private room,,Yellowknife,13,4.5,2,1,76,,62.45054,-114.370558,08:50.2
15453753,91856436,Private room,,Yellowknife,2,0,4,1,78,,62.450208,-114.372278,08:50.2
5521862,28195028,Private room,,Yellowknife,0,0,2,1,72,,62.452116,-114.372181,08:50.2
6261276,28195028,Private room,,Yellowknife,10,4.5,3,1,76,,62.452526,-114.370341,08:50.1
6577784,26388248,Private room,,Yellowknife,74,5,2,1,69,,62.448686,-114.367895,08:50.1
16286210,42056096,Private room,,Yellowknife,0,0,2,1,80,,62.464439,-114.359539,08:50.1
5588903,6614402,Private room,,Yellowknife,21,5,2,1,68,,62.442129,-114.416639,08:50.1
15602397,5824802,Private room,,Yellowknife,2,0,2,1,63,,62.465585,-114.349541,08:50.1
6078813,6056067,Private room,,Yellowknife,56,5,4,1,75,,62.466921,-114.366072,08:49.0
16286422,42056096,Private room,,Yellowknife,0,0,2,1,80,,62.462547,-114.35909,08:49.0
14653841,31878662,Private room,,Yellowknife,10,4,5,1,76,,62.436276,-114.423491,08:49.0
6765510,6018080,Private room,,Yellowknife,10,5,2,1,76,,62.466339,-114.370555,08:49.0
5454224,28195028,Private room,,Yellowknife,16,5,1,1,63,,62.452547,-114.37082,08:49.0
1837366,1825523,Private room,,Yellowknife,6,5,2,1,76,,62.472185,-114.342046,08:49.0
2020094,1509188,Private room,,Yellowknife,31,4.5,2,1,69,,62.449769,-114.372152,08:49.0
5902621,25827587,Private room,,Yellowknife,33,5,2,1,69,,62.448306,-114.413256,08:49.0
15421250,5824802,Private room,,Yellowknife,7,5,2,1,65,,62.466787,-114.34924,08:49.0
16676052,110343930,Private room,,Yellowknife,4,5,2,1,68,,62.432987,-114.407731,08:49.0
14889792,93411605,Private room,,Yellowknife,9,3.5,4,1,72,,62.450985,-114.368475,08:49.0
16546628,26388248,Private room,,Yellowknife,5,5,2,1,65,,62.447859,-114.367343,08:49.0
5902250,25827587,Private room,,Yellowknife,14,5,2,1,76,,62.449862,-114.412859,08:49.0
4988093,6614402,Private room,,Yellowknife,41,5,2,1,71,,62.444204,-114.419327,08:49.0
6766821,6018080,Private room,,Yellowknife,7,5,2,1,76,,62.467012,-114.368242,08:49.0
1769821,1825523,Private room,,Yellowknife,20,4.5,2,1,76,,62.470965,-114.342648,08:49.0
16546289,108907052,Private room,,Yellowknife,6,5,2,1,65,,62.464034,-114.368169,08:49.0
5146235,26388248,Private room,,Yellowknife,67,5,3,1,78,,62.447758,-114.369388,08:48.9
15454014,99109865,Private room,,Yellowknife,10,5,2,1,61,,62.452008,-114.36612,08:47.9
14961568,1509188,Private room,,Yellowknife,7,4.5,2,1,61,,62.451585,-114.372458,08:47.9
16673283,110310119,Private room,,Yellowknife,0,0,2,1,61,,62.458117,-114.363242,08:47.9
11211267,1509188,Private room,,Yellowknife,27,4,2,1,58,,62.448712,-114.380837,08:47.9
16303118,106211065,Private room,,Yellowknife,0,0,2,1,61,,62.439526,-114.425051,08:47.8
15454407,99109865,Private room,,Yellowknife,11,5,2,1,54,,62.453754,-114.364865,08:46.7
9684913,2076510,Private room,,Yellowknife,18,5,2,1,58,,62.458113,-114.365487,08:46.7
12400760,9943987,Private room,,Yellowknife,17,5,2,2,58,,62.458281,-114.366202,08:46.7
17005952,110343930,Private room,,Yellowknife,0,0,2,1,47,,62.432987,-114.408415,08:46.7
10090993,29952958,Private room,,Yellowknife,16,5,2,1,58,,62.459155,-114.364413,08:46.7
15114038,95753013,Private room,,Yellowknife,8,5,4,1,54,,62.441808,-114.409534,08:46.7
17347258,117198983,Private room,,Yellowknife,0,0,1,1,54,,62.449152,-114.381598,08:46.7
12211564,12042079,Private room,,Yellowknife,12,4.5,2,1,54,,62.444921,-114.383939,08:46.7
15672130,13088952,Private room,,Yellowknife,4,5,2,1,53,,62.461077,-114.364214,08:46.7
4803490,21495533,Private room,,Yellowknife,16,4.5,2,1,45,,62.440045,-114.407787,08:46.7
13172757,15878363,Private room,,Yellowknife,4,5,2,1,49,,62.449234,-114.368954,08:46.7
2865417,1509188,Private room,,Yellowknife,14,4.5,2,1,58,,62.447892,-114.379096,08:46.7
8809378,12734522,Private room,,Yellowknife,10,4.5,2,1,55,,62.448111,-114.36873,08:46.7
15454676,99109865,Private room,,Yellowknife,22,5,2,1,45,,62.454172,-114.365948,08:46.7
15655507,5381863,Private room,,Yellowknife,4,5,2,1,54,,62.441239,-114.361812,08:46.7
10922520,54337862,Private room,,Yellowknife,44,5,2,1,49,,62.435552,-114.413047,08:46.7
16040011,26286417,Private room,,Yellowknife,7,5,2,1,57,,62.449677,-114.387743,08:46.7
14882665,93320156,Private room,,Yellowknife,24,5,2,1,54,,62.446441,-114.420906,08:46.7
17348010,15878363,Private room,,Yellowknife,1,0,2,1,34,,62.447351,-114.366986,08:45.1
16827309,102931482,Private room,,Yellowknife,3,5,1,1,34,,62.449031,-114.366996,08:45.1
16419813,11485740,Private room,,Yellowknife,8,5,2,1,37,,62.44007,-114.359673,08:45.1
11417659,54337862,Private room,,Yellowknife,30,5,2,1,38,,62.435914,-114.412332,08:45.1
15899732,102931482,Private room,,Yellowknife,17,5,2,1,40,,62.449632,-114.368065,08:43.9
6836834,35824253,Shared room,,Yellowknife,22,5,6,1,34,,62.444861,-114.417077,03:15.5
5594757,29009711,Entire home/apt,,Yellowknife,0,0,8,4,402,,62.467929,-114.348447,59:10.3
15251185,48418953,Entire home/apt,,Yellowknife,9,5,8,4,264,,62.453059,-114.385126,58:23.0
5454236,28195028,Entire home/apt,,Yellowknife,15,4,9,4,192,,62.45061,-114.371641,58:21.4
16332723,106916273,Entire home/apt,,Yellowknife,1,0,6,3,192,,62.436187,-114.429949,58:21.2
13442231,76722371,Entire home/apt,,Yellowknife,25,4.5,6,3,192,,62.467098,-114.346903,58:21.1
4822480,14170077,Entire home/apt,,Yellowknife,53,5,4,2,192,,62.463331,-114.352445,58:21.0
15450836,99109865,Entire home/apt,,Yellowknife,4,5,6,3,152,,62.454203,-114.366125,58:19.6
16097572,1274093,Entire home/apt,,Yellowknife,10,5,6,3,175,,62.4469,-114.380687,58:19.4
16374240,48017914,Entire home/apt,,Yellowknife,4,5,4,1,138,,62.458486,-114.345328,58:17.6
15008688,59990169,Entire home/apt,,Yellowknife,4,5,5,2,134,,62.447533,-114.371001,58:17.5
14964490,93539754,Entire home/apt,,Yellowknife,6,4.5,4,2,144,,62.43951,-114.406688,58:17.4
