room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
14325577,28771591,Entire home/apt,,Guildhall Ward,3,4.5,4,,240,,53.962702,-1.084974,22:49.1
5401137,27998246,Private room,,Heworth Ward,111,4.5,3,,64,1,53.967718,-1.054918,22:41.0
14381213,88289825,Private room,,Heworth Ward,35,5,2,,76,1,53.974894,-1.064101,22:36.8
8433606,43256484,Entire home/apt,,Guildhall Ward,0,,2,,127,7,53.961751,-1.08047,22:31.0
3540464,5681743,Private room,,Clifton Ward,150,4.5,2,,44,1,53.970854,-1.08695,22:21.3
1385959,7499033,Private room,,Heworth Ward,70,5,2,,48,2,53.96778,-1.056056,22:10.1
4648793,24066395,Entire home/apt,,Micklegate Ward,2,,4,,184,,53.956487,-1.088149,22:06.1
1215930,6635750,Entire home/apt,,Guildhall Ward,38,5,4,,102,,53.962692,-1.085265,21:41.8
3380374,5681743,Private room,,Clifton Ward,125,4,2,,44,1,53.972532,-1.088801,21:25.4
8433489,43256484,Entire home/apt,,Micklegate Ward,0,,2,,102,7,53.953787,-1.086601,21:09.4
11139175,11928838,Entire home/apt,,Micklegate Ward,14,4.5,4,,127,,53.95248,-1.088294,21:05.3
14921631,43256484,Entire home/apt,,Guildhall Ward,0,,4,,126,7,53.960678,-1.078504,20:33.4
15214132,34665706,Entire home/apt,,Osbaldwick & Derwent Ward,2,,6,,101,2,53.960876,-1.044283,20:18.8
3276521,16166977,Entire home/apt,,Guildhall Ward,23,4.5,5,,191,2,53.96171,-1.083239,20:09.1
14491283,85179749,Private room,,Guildhall Ward,0,,1,,381,1,53.957575,-1.080281,19:58.6
3840174,19785717,Private room,,Micklegate Ward,148,5,2,,90,1,53.957334,-1.084567,19:29.2
8544627,43256484,Entire home/apt,,Micklegate Ward,0,,2,,121,7,53.954584,-1.084813,19:25.4
11357679,59488888,Private room,,Heworth Ward,27,5,1,,42,1,53.968278,-1.065564,19:01.3
2798526,14313195,Entire home/apt,,Guildhall Ward,4,5,5,,191,3,53.961473,-1.08083,18:57.1
10872826,43256484,Entire home/apt,,Guildhall Ward,2,,4,,126,7,53.959608,-1.07761,18:53.2
13664736,43256484,Entire home/apt,,Guildhall Ward,4,5,2,,89,7,53.962262,-1.079753,18:45.1
1574857,8368802,Entire home/apt,,Guildhall Ward,30,5,3,,159,,53.962547,-1.077415,18:26.8
15202123,16681059,Private room,,Holgate Ward,0,,1,,44,1,53.955981,-1.108819,18:18.5
4225010,21926322,Private room,,Holgate Ward,96,4.5,2,,82,1,53.956608,-1.120899,18:13.3
8398533,43256484,Entire home/apt,,Guildhall Ward,3,4.5,2,,96,5,53.956565,-1.082472,17:53.2
9062977,47274277,Entire home/apt,,Guildhall Ward,21,5,2,,108,2,53.963065,-1.084739,17:33.5
