room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8463815,9782848,Entire home/apt,,Lyall Bay-Airport-Moa Point,0,,9,4,183,,-41.323953,174.796876,23:48.6
10247638,52672807,Entire home/apt,,Melrose-Houghton Bay-Southgate,0,,4,2,144,,-41.325292,174.788667,23:48.6
16457882,31554244,Entire home/apt,,Lyall Bay-Airport-Moa Point,0,,3,2,144,,-41.326228,174.789465,23:48.7
11482097,41586254,Entire home/apt,,Te Kainga,1,,7,4,180,,-41.245179,174.791789,23:48.7
16588902,109395499,Entire home/apt,,Te Kainga,1,,6,3,206,,-41.248573,174.799053,23:50.4
15549150,100072446,Entire home/apt,,Thorndon-Tinakori Road,0,,2,1,195,,-41.278181,174.77372,23:50.4
14995722,2576,Entire home/apt,,Aro Street-Nairn Street,0,,10,3,202,,-41.29547,174.769049,23:50.4
15706622,19040245,Entire home/apt,,Thorndon-Tinakori Road,0,,2,1,192,,-41.275463,174.78113,23:50.4
12855219,70232377,Entire home/apt,,Happy Valley-Owhiro Bay,0,,8,3,202,,-41.337483,174.765135,23:50.4
9437116,48913424,Entire home/apt,,Melrose-Houghton Bay-Southgate,1,,6,4,187,,-41.334762,174.782077,23:50.4
15706606,19040245,Entire home/apt,,Thorndon-Tinakori Road,0,,2,1,192,,-41.275649,174.78103,23:50.4
15706610,19040245,Entire home/apt,,Thorndon-Tinakori Road,0,,2,1,192,,-41.27641,174.780785,23:50.4
15706623,19040245,Entire home/apt,,Thorndon-Tinakori Road,0,,2,1,192,,-41.276756,174.780821,23:50.4
17555936,106189386,Entire home/apt,,Khandallah Park-Broadmeadows,0,,4,3,307,,-41.23932,174.789748,23:51.7
16900918,55216165,Entire home/apt,,Tawa Central,0,,6,3,288,,-41.168161,174.816807,23:51.8
15696257,19040245,Entire home/apt,,Thorndon-Tinakori Road,0,,2,1,212,,-41.276356,174.782093,23:51.8
18259755,89974320,Entire home/apt,,Johnsonville Central,0,,7,3,288,,-41.223845,174.807295,23:51.8
8446519,44470987,Entire home/apt,,Willis Street-Cambridge Terrace,0,,4,2,252,,-41.293381,174.778064,23:51.8
17404735,50687364,Entire home/apt,,Northland,0,,7,3,231,,-41.286419,174.757841,23:51.8
11398633,3336746,Entire home/apt,,Willis Street-Cambridge Terrace,0,,4,2,252,,-41.293908,174.780193,23:53.6
17498230,4658618,Entire home/apt,,Willis Street-Cambridge Terrace,0,,4,2,235,,-41.29486,174.772276,23:53.6
17995677,14304852,Entire home/apt,,Kingston-Mornington,0,,4,2,252,,-41.319488,174.769189,23:53.6
14502242,5853664,Entire home/apt,,Willis Street-Cambridge Terrace,0,,4,2,303,,-41.296848,174.780333,23:53.6
16884366,61187787,Entire home/apt,,Mt Victoria West,0,,2,1,288,,-41.296004,174.783013,23:53.6
18010675,6829571,Entire home/apt,,Willis Street-Cambridge Terrace,1,,5,3,216,,-41.294214,174.779378,23:53.6
